,gen,ref_consol,fun_consol,fun_consol
936,Labedella,FAPROTAXv1.1,aerobic_chemoheterotrophy,
937,Labrenzia,"(Graf et al., 2014), FAPROTAXv1.1",nirS norB nosZ aerobic_chemoheterotrophy            ,
938,Labrys,FAPROTAXv1.1,aerobic_chemoheterotrophy,
939,Lachnospira,FAPROTAXv1.1,fermentation,
940,Lachnospiraceae,FAPROTAXv1.1,animal_parasites_or_symbionts,aromatic_compound_degradation dark_hydrogen_oxidation fermentation human_gut nitrate_reduction reductive_acetogenesis           
941,Lacinutrix,FAPROTAXv1.1,aerobic_chemoheterotrophy,
942,Lactobacillaceae,FAPROTAXv1.1,fermentation,
943,Lactobacillus,FAPROTAXv1.1,DNRA,fermentation
944,Lactococcus,FAPROTAXv1.1,fermentation,plant_pathogen
945,Lactosphaera,FAPROTAXv1.1,fermentation,
946,Lacunisphaera,"{Rast, P., et al. (2017)}",non-N,              
947,Lamprobacter,FAPROTAXv1.1,anoxygenic_photoautotrophy_H2_oxidizing,anoxygenic_photoautotrophy_S_oxidizing nitrogen_fixation ureolysis              
948,Lapillicoccus,FAPROTAXv1.1,aerobic_chemoheterotrophy,
949,Larkinella,FAPROTAXv1.1,aerobic_chemoheterotrophy,
950,Lautropia,"(Graf et al., 2014)",nirK norB nosZ             ,
951,Lebetimonas,FAPROTAXv1.1,H_ox,#REF!
952,Lechevalieria,FAPROTAXv1.1,denitrification,urea 
953,Legionella,"(Jones et al., 2008), FAPROTAXv1.1",non-N,human_pathogens_all human_pathogens_pneumonia             
954,Legionellaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,
955,Legionellales,"(Antharaman et al., 2016), FAPROTAXv1.1",S_cycle H2_ox H2_prod aerobic intracellular_parasites  ,
956,Leifsonia,FAPROTAXv1.1,fermentation,"N, urea"
957,Leisingera,FAPROTAXv1.1,methanotroph,
958,Leminorella,FAPROTAXv1.1,human_pathogens_all,human_pathogens_gastroenteritis
959,Lentibacillus,FAPROTAXv1.1,denitrification,
960,Lentisphaeraceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,
961,Lentisphaerae,"(Antharaman et al., 2016)",C_cycle N_fix N_cycle S_cycle H2_ox H2_prod C1_ox aerobic          ,
962,Lentzea,FAPROTAXv1.1,ureolysis,
963,Leptolinea,"(Yamada et al. 2006)?, FAPROTAXv1.1",non-N,fermentation              
964,Leptolyngbya,"(Shimura et al., 2015)",N2_fix,               
965,Leptonema,"(Graf et al., 2014)",non-N,              
966,Leptospira,"(Graf et al., 2014)",non-N,              
967,Leptospirillum,FAPROTAXv1.1,Fe_oxidation,N2_fix 
968,Leptothrix,"(Graf et al., 2014), FAPROTAXv1.1",nirS norB nosZ dark_iron_oxidation manganese_oxidation           ,
969,Leptotrichia,"{Couturier, M. R., et al. (2012)}",non-N,              
970,Leptotrichiaceae,FAPROTAXv1.1,fermentation,
971,Leucobacter,FAPROTAXv1.1,denitrification,urea 
972,Leuconostoc,FAPROTAXv1.1,fermentation,plant_pathogen
973,Leuconostocaceae,FAPROTAXv1.1,fermentation,
974,Levilinea,"{Yamada, T., et al. (2006)}, FAPROTAXv1.1",non-N,fermentation              
975,Lewinella,FAPROTAXv1.1,denitrification,
976,Limnobacter,"{Spring, S., et al. (2001)}, FAPROTAXv1.1",S_reduction,
977,Limonium,FAPROTAXv1.1,chitinolysis,
978,Listeria,FAPROTAXv1.1,human_gut,"human_pathogen, plant_pathogen"
979,Listeriaceae,FAPROTAXv1.1,fermentation,
980,Litorilinea,FAPROTAXv1.1,aerobic_chemoheterotrophy,
981,Loktanella,FAPROTAXv1.1,aerobic_chemoheterotrophy,N
982,Lonepinella,FAPROTAXv1.1,animal_parasites_or_symbionts,fermentation                
983,Longimonas,FAPROTAXv1.1,aerobic_chemoheterotrophy,fermentation
984,Longispora,FAPROTAXv1.1,denitrification,
985,Lonsdalea,FAPROTAXv1.1,plant_pathogen,
986,Luedemannella,FAPROTAXv1.1,aerobic_chemoheterotrophy,
987,Luteimonas,"{Finkmann, W., et al. (2000)}",denitrification,
988,Luteipulveratus,FAPROTAXv1.1,aerobic_chemoheterotrophy,
989,Luteococcus,FAPROTAXv1.1,fermentation,N
990,Luteolibacter,"(Glaeser et al., 2012)",non-N,              
991,Lutibaculum,FAPROTAXv1.1,aerobic_chemoheterotrophy,N
992,Lutiella,"(Graf et al., 2014)",nirS norB nosZ             ,
993,Lysinibacillus,FAPROTAXv1.1,invertebrate_parasites,xylanolysis
994,Lysobacter,"(CHRISTENSEN and Cook, 1978), FAPROTAXv1.1",degradation,Degrade
995,Macellibacteroides,"(Jabari et al., 2012)",non-N,              
996,Macromonas,FAPROTAXv1.1,ureolysis,
997,Magnetococcus,"(Jones et al., 2008), FAPROTAXv1.1",norB nitrogen_fixation             ,
998,Magnetospirillum,"(Thrash et al., 2010) (Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",non-N,aerobic_chemoheterotrophy nitrate_denitrification nitrate_respiration nitrogen_fixation           
999,Malikia,"(Spring et al., 2005)",denitrification,
1000,Mameliella,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1001,Mangrovibacterium,FAPROTAXv1.1,aerobic_chemoheterotrophy,"cellulolysis, fermentation, N2 fix"
1002,Mannheimia,"(Jones et al., 2008) , (Graf et al., 2014)",nirK norB              ,
1003,Maribacter,"(Graf et al., 2014), FAPROTAXv1.1",nirK norB nosZ nitrate_reduction            ,
1004,Maricaulis,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1005,Marichromatium,FAPROTAXv1.1,anoxygenic_photoautotrophy_H2_oxidizing,anoxygenic_photoautotrophy_S_oxidizing nitrogen_fixation               
1006,Marihabitans,FAPROTAXv1.1,aerobic_chemoheterotrophy,N
1007,Marine,"(Graf et al., 2014)",nirK               ,
1008,Marinilabilia,"(Graf et al., 2014)",nirK norB nosZ             ,
1009,Marinilabiliaceae,FAPROTAXv1.1,fermentation,
1010,Marinilactibacillus,FAPROTAXv1.1,aerobic_chemoheterotrophy,fermentation
1011,Marinimicrobium,FAPROTAXv1.1,xylanolysis,
1012,Mariniphaga,FAPROTAXv1.1,aerobic_chemoheterotrophy,fermentation
1013,Marinitoga,FAPROTAXv1.1,thiosulfate_oxidation,
1014,Marinobacter,"(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",nirK nirS norB nosZ aerobic_chemoheterotrophy aliphatic_non_methane_hydrocarbon_degradation aromatic_hydrocarbon_degradation arsenate_respiration dark_iron_oxidation denitrification fermentation nitrate_denitrification nitrate_respiration oil_bioremediation ureolysis ,
1015,Marinobacterium,FAPROTAXv1.1,aerobic_chemoheterotrophy,"degradation, N"
1016,Marinococcus,FAPROTAXv1.1,denitrification,
1017,Marinomonas,FAPROTAXv1.1,denitrification,urea 
1018,Marinospirillum,FAPROTAXv1.1,denitrification,
1019,Marinovum,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1020,Mariprofundus,FAPROTAXv1.1,Fe_oxidation,
1021,Maritimibacter,"(Graf et al., 2014), FAPROTAXv1.1",nirK norB nosZ aerobic_chemoheterotrophy            ,
1022,Marivita,FAPROTAXv1.1,aerobic_chemoheterotrophy,N
1023,Marixanthomonas,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1024,Martelella,FAPROTAXv1.1,aerobic_chemoheterotrophy,"degradation, fermentation"
1025,Marvinbryantia,FAPROTAXv1.1,reductive_acetogenesis,
1026,Massilia,"(Lindquist et al., 2003)",denitrification,
1027,Megasphaera,"(Rogosa, 1971), FAPROTAXv1.1",non-N,fermentation              
1028,Meiothermus,FAPROTAXv1.1,aerobic_chemoheterotrophy,"Fe, N, xylan"
1029,Melioribacter,"(Graf et al., 2014), FAPROTAXv1.1",nosZ aerobic_chemoheterotrophy arsenate_respiration cellulolysis fermentation iron_respiration nitrite_respiration xylanolysis       ,
1030,Melittangium,FAPROTAXv1.1,xylanolysis,
1031,Meridianimaribacter,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1032,Mesoflavibacter,FAPROTAXv1.1,aerobic_chemoheterotrophy,xylan
1033,Mesonia,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1034,mesophilicum,FAPROTAXv1.1,plastic_degradation,
1035,Mesophilobacter,FAPROTAXv1.1,denitrification,
1036,Mesorhizobium,"https://en.wikipedia.org/wiki/Mesorhizobium (Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",N2_fix,nitrogen_fixation               
1037,metagenome,,unclassified,
1038,Metallibacterium,FAPROTAXv1.1,aerobic_chemoheterotrophy,Fe 
1039,Metallosphaera,FAPROTAXv1.1,Fe_oxidation,
1040,Metascardovia,FAPROTAXv1.1,fermentation,
1041,Methanoarchaeota,FAPROTAXv1.1,methanogen,
1042,Methanobacteriaceae,FAPROTAXv1.1,methanogen,
1043,Methanobacteriales,FAPROTAXv1.1,H_ox,#REF!
1044,Methanobacterium,"(Zeikus and Wolee, 1972), FAPROTAXv1.1",non-N,dark_hydrogen_oxidation methanogenesis_by_CO2_reduction_with_H2 methanogenesis_by_reduction_of_methyl_compounds_with_H2 methanogenesis_using_formate methanol_oxidation          
1045,Methanobrevibacter,", FAPROTAXv1.1",methanogen,
1866,Methanocella,"(Sakai et al., 2008)",methanogen,
1046,Methanocellales,FAPROTAXv1.1,methanogen,
1047,Methanococcaceae,FAPROTAXv1.1,hydrogenotrophic_methanogenesis,methanogenesis_using_formate
1048,Methanococcales,FAPROTAXv1.1,methanogen,
1049,Methanococcoides,FAPROTAXv1.1,methanogen,
1050,Methanococcus,FAPROTAXv1.1,H_ox,#REF!
1051,Methanocorpusculaceae,FAPROTAXv1.1,methanogen,
1052,Methanoculleus,FAPROTAXv1.1,acetogenesis,
1053,Methanogranum,FAPROTAXv1.1,H_ox,#REF!
1054,Methanolinea,FAPROTAXv1.1,H_ox,#REF!
1055,Methanomassiliicoccaceae,FAPROTAXv1.1,methanogen,
1056,Methanomassiliicoccales,FAPROTAXv1.1,methanotroph,
1057,Methanomassiliicoccus,"(Dridi et al., 2012), FAPROTAXv1.1",methanogen,
1058,Methanomethylophilus,FAPROTAXv1.1,methanogen,
1059,Methanomicrobiaceae,FAPROTAXv1.1,methanogen,
1060,Methanomicrobiales,FAPROTAXv1.1,methanogen,
1061,Methanomicrococcus,FAPROTAXv1.1,methanogen,
1062,Methanomonas,FAPROTAXv1.1,methanotroph,
1063,Methanoperedens,FAPROTAXv1.1,methanotroph,N
1064,Methanoplasma,FAPROTAXv1.1,H_ox,#REF!
1065,Methanopyrales,FAPROTAXv1.1,methanogen,
1066,Methanoregula,FAPROTAXv1.1,H_ox,#REF!
1067,Methanosaeta,"(Smith and Ingram-Smith, 2007), FAPROTAXv1.1",non-N,plastic_degradation              
1068,Methanosarcina,", FAPROTAXv1.1",methanogen,
1069,Methanosarcinaceae,FAPROTAXv1.1,H_ox,#REF!
1070,Methanosarcinales,FAPROTAXv1.1,methanogen,
1071,Methanosphaera,FAPROTAXv1.1,H_ox,#REF!
1072,Methanospirillaceae,FAPROTAXv1.1,H_ox,#REF!
1073,Methanospirillum,"(Ferry et al., 1974), FAPROTAXv1.1",methanogen,
1074,Methanothermaceae,FAPROTAXv1.1,methanogen,
1075,Methanothermobacter,FAPROTAXv1.1,H_ox,#REF!
1076,Methanothermococcus,FAPROTAXv1.1,N2_fix,
1077,Methylacidiphilum,"(Graf et al., 2014), FAPROTAXv1.1",nirK norB methanotrophy nitrogen_fixation            ,
1078,Methylarcula,FAPROTAXv1.1,Mn_ox,
1079,Methylibium,FAPROTAXv1.1,aromatic_compound_degradation,methanol_oxidation                
1080,Methyloacida,FAPROTAXv1.1,methanotroph,
1081,Methylobacillus,FAPROTAXv1.1,methanol_oxidation,"N, urea"
1082,Methylobacter,"(wikipedia), FAPROTAXv1.1",methanotroph,"N2_fix, urea"
1083,Methylobacteriaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,"methanol, urea"
1084,Methylobacterium,"(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",non-N,aerobic_anoxygenic_phototrophy dark_thiosulfate_oxidation methylotrophy            
1085,Methylocaldum,FAPROTAXv1.1,methanotroph,
1086,Methylocapsa,FAPROTAXv1.1,methanotroph,N2_fix
1087,Methylocella,"(Graf et al., 2014), FAPROTAXv1.1",nirK norB methanotrophy nitrogen_fixation            ,
1088,Methylococcaceae,"{Bowman, J. (2006)}, FAPROTAXv1.1",methanotroph,N
1089,Methylococcus,"(Jones et al., 2008), FAPROTAXv1.1",norB methanotrophy             ,
1090,Methylocystaceae,FAPROTAXv1.1,methanotroph,"N2_fix, urea"
1091,Methylocystis,"(Belova et al., 2013) (Graf et al., 2014), FAPROTAXv1.1",non-N,fermentation methanotrophy             
1092,Methyloferula,FAPROTAXv1.1,methanotroph,
1093,Methylogaea,FAPROTAXv1.1,methanotroph,
1094,Methyloglobulus,FAPROTAXv1.1,methanol_oxidation,"methanotroph, N2_fix"
1095,Methylohalobius,FAPROTAXv1.1,methanotroph,
1096,Methylohalomonas,FAPROTAXv1.1,methanol_oxidation,
1097,Methylokorus,FAPROTAXv1.1,methanotroph,
1098,Methylomarinovum,FAPROTAXv1.1,methanotroph,
1099,Methylomarinum,FAPROTAXv1.1,methanotroph,
1100,Methylomicrobium,FAPROTAXv1.1,methanotroph,
1101,Methylomirabilis,FAPROTAXv1.1,methanotroph,N
1102,Methylomonas,", FAPROTAXv1.1",methanotroph,methanol_oxidation
1103,Methylonatrum,FAPROTAXv1.1,methanol_oxidation,
1104,Methylophaga,"(Graf et al., 2014)",non-N,              
1105,Methylophilaceae,FAPROTAXv1.1,methanol_oxidation,urea
1106,Methylophilales,"(Antharaman et al., 2016)",N_cycle S_cycle C1_ox aerobic            ,
1107,Methylophilus,FAPROTAXv1.1,methanol_oxidation,N
1108,Methylosarcina,", FAPROTAXv1.1",non-N,methanotrophy              
1109,Methylosineae,FAPROTAXv1.1,methanotroph,
1110,Methylosinus,"(Sullivan et al., 1998), FAPROTAXv1.1",denitrification,methanotrophy
1111,Methylosoma,FAPROTAXv1.1,methanotroph,
1112,Methylosphaera,FAPROTAXv1.1,methanol_oxidation,"methanotroph, N2_fix"
1113,Methylotenera,"(Kalyuzhya et al., 2006) (Graf et al., 2014) , (Antharaman et al., 2016)",non-N,              
1114,Methyloterrigena,FAPROTAXv1.1,methanol_oxidation,
1115,Methylothermaceae,FAPROTAXv1.1,methanotroph,
1116,Methylothermus,"(Tsubota et al., 2005), FAPROTAXv1.1",denitrification,methanotrophy
1117,Methylovarius,FAPROTAXv1.1,methanotroph,
1118,Methyloversatilis,"(Kalyuzhya et al., 2006)",non-N,              
1119,Methylovirgula,FAPROTAXv1.1,methanol_oxidation,N2_fix
1120,Methylovulum,"{Iguchi, H., et al. (2011)}, FAPROTAXv1.1",methanotroph,
1121,Microbacteriaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,"N, urea"
1122,Microbacterium,FAPROTAXv1.1,arsenate_detoxification,ligninolysis nitrate_reduction nitrate_respiration oil_bioremediation ureolysis xylanolysis           
1123,Microbispora,FAPROTAXv1.1,denitrification,
1124,Microbulbifer,FAPROTAXv1.1,cellulolysis,"chitinolysis, xylan"
1125,Microcella,FAPROTAXv1.1,ureolysis,
1126,Micrococcaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,fermentation
1127,Micrococcales,FAPROTAXv1.1,aerobic_chemoheterotrophy,fermentation
1128,Micrococcus,FAPROTAXv1.1,cellulolysis,"ligninolysis, N"
1129,Microgenomates group,"(Antharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,
1130,Microlunatus,"(Graf et al., 2014), FAPROTAXv1.1",nirK norB nitrate_reduction nitrate_respiration            ,
1131,Micromonospora,"(Graf et al., 2014), FAPROTAXv1.1",non-N,cellulolysis chitinolysis nitrate_reduction xylanolysis           
1132,Micromonosporaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,N
1133,Microtetraspora,FAPROTAXv1.1,ureolysis,xylan
1134,Microvirgula,FAPROTAXv1.1,aerobic_chemoheterotrophy,"methanol, N, NO2, NO"
1135,Miniimonas,FAPROTAXv1.1,denitrification,
1136,Mitsuaria,FAPROTAXv1.1,aerobic_chemoheterotrophy,N
1137,Mizugakiibacter,FAPROTAXv1.1,denitrification,
1138,Mobilicoccus,"(Graf et al., 2014), FAPROTAXv1.1",nirK norB aerobic_chemoheterotrophy nitrate_reduction            ,
1139,Mobiluncus,FAPROTAXv1.1,fermentation,human_gut
1140,Modestobacter,FAPROTAXv1.1,denitrification,urea 
1141,Moheibacter,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1142,Moorella,FAPROTAXv1.1,fermentation,"methanol, N, acetogenesis"
1143,Moraxella,"(Graf et al., 2014), FAPROTAXv1.1",nirK norB aliphatic_non_methane_hydrocarbon_degradation fermentation nitrate_reduction plastic_degradation          ,
1144,Moraxellaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,"degradation, fermentation"
1145,Morganella,FAPROTAXv1.1,human_pathogens_all,human_pathogens_diarrhea
1146,Moritella,"(Graf et al., 2014), FAPROTAXv1.1",nosZ nitrate_reduction             ,
1147,Mucilaginibacter,"(Pankratov et al., 2007), FAPROTAXv1.1",non-N,aerobic_chemoheterotrophy xylanolysis             
1148,Muricauda,"(Graf et al., 2014)",nirK norB nosZ             ,
1149,Myceligenerans,FAPROTAXv1.1,aerobic_chemoheterotrophy,"N, urea"
1150,Mycetocola,FAPROTAXv1.1,ureolysis,
1151,Mycobacterium,"(Butler et al., 1993) (Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",non-N,aerobic_chemoheterotrophy aromatic_hydrocarbon_degradation human_pathogens_all human_pathogens_pneumonia methanol_oxidation nitrate_reduction plastic_degradation ureolysis       
1152,Mycolatopsis,FAPROTAXv1.1,ligninolysis,
1153,Mycoplana,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1154,Mycoplasma,"(Wodke et al., 2013), FAPROTAXv1.1",non-N,animal_parasites_or_symbionts human_pathogens_all human_pathogens_pneumonia            
1155,Mycoplasmataceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,urea
1156,Myroides,"(Graf et al., 2014), FAPROTAXv1.1",nirK norB nosZ human_pathogens_all            ,
1157,Myxococcaceae,FAPROTAXv1.1,xylanolysis,
1158,Myxococcales,FAPROTAXv1.1,predatory_or_exoparasitic,
1159,Myxococcus,FAPROTAXv1.1,cellulolysis,
1160,Naasia,FAPROTAXv1.1,aerobic_chemoheterotrophy,N
1161,Nakamurellaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1162,Nannocystis,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1163,Natranaerobius,FAPROTAXv1.1,fumarate_respiration,N
1164,Natrinema,FAPROTAXv1.1,denitrification,
1165,Natroniella,FAPROTAXv1.1,reductive_acetogenesis,
1166,Natronincola,FAPROTAXv1.1,reductive_acetogenesis,
1167,Natronomonas,"(Jones et al., 2008) , (Graf et al., 2014)",nirK               ,
1168,Nautella,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1169,Nautilia,FAPROTAXv1.1,H_ox,#REF!
1170,Nautiliaceae,FAPROTAXv1.1,H_ox,#REF!
1171,Neisseria,"(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",nirK norB nosZ human_pathogens_all human_pathogens_meningitis human_pathogens_septicemia nitrate_reduction nitrite_respiration        ,
1172,Neisseriaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,varied
1173,Neocallimastix,FAPROTAXv1.1,xylanolysis,
1174,Neochlamydia,"{Horn, M., et al. (2000)}",parasite,
1175,Neosartorya,"(Graf et al., 2014)",nirK               ,
1176,Neptunomonas,FAPROTAXv1.1,aromatic_hydrocarbon_degradation,oil_bioremediation                
1177,Nereida,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1178,Nesterenkonia,FAPROTAXv1.1,cellulolysis,urea
1179,Nevskia,"{Kim, S.-J., et al. (2011)}, FAPROTAXv1.1",non-N,aerobic_chemoheterotrophy              
1180,Niabella,"(Kim et al., 2007) (Graf et al., 2014)",non-N,              
1181,Niastella,"(Graf et al., 2014)",nosZ              ,
1182,Nisaea,"(Jones et al., 2008), FAPROTAXv1.1",nirK nosZ nitrate_denitrification nitrite_respiration            ,
1183,Nitratifractor,"(kagawa et al., 2005) (Graf et al., 2014), FAPROTAXv1.1",denitrification,
1184,Nitratireductor,"(Labb_ et al., 2004) (Graf et al., 2014), FAPROTAXv1.1",denitrification,
1185,Nitratiruptor,"(kagawa et al., 2005) (Graf et al., 2014), FAPROTAXv1.1",denitrification,"H, S "
1186,Nitriliruptor,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1187,Nitrobacter,"(Jones et al., 2008) , (Graf et al., 2014)",nitrite_oxidation,
1188,Nitrolancea,FAPROTAXv1.1,nitrite_oxidation,aerobic_nitrite_oxidation
1189,Nitrosoarchaeum,FAPROTAXv1.1,ammonia_oxidation,aerobic_ammonia_oxidation
1190,Nitrosocaldaceae,FAPROTAXv1.1,ammonia_oxidation,aerobic_ammonia_oxidation
1191,Nitrosocaldus,FAPROTAXv1.1,ammonia_oxidation,aerobic_ammonia_oxidation
1192,Nitrosococcus,"Paul 2015-book? (Graf et al., 2014), FAPROTAXv1.1",nitrite_oxidation,urea 
1193,Nitrosocosmicus,,ammonia_oxidation,Ammonia
1194,Nitrosomonadaceae_family_Ellin6067,,uncultured,
1195,Nitrosomonadaceae_family_GOUTA6,0,ammonia_oxidation,Ammonia
1196,Nitrosomonadaceae_family_MND1,0,ammonia_oxidation,Ammonia
1197,Nitrosomonadales,FAPROTAXv1.1,ammonia_oxidation,aerobic_ammonia_oxidation
1198,Nitrosomonas,"(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",ammonia_oxidation,Ammonia
1199,Nitrosopelagicus,FAPROTAXv1.1,ammonia_oxidation,aerobic_ammonia_oxidation
1200,Nitrosopumilaceae,FAPROTAXv1.1,ammonia_oxidation,aerobic_ammonia_oxidation
1201,Nitrosopumilus,"(Graf et al., 2014), FAPROTAXv1.1",ammonia_oxidation,Ammonia
1202,Nitrososphaera,", FAPROTAXv1.1",ammonia_oxidation,Ammonia
1203,Nitrososphaerales,FAPROTAXv1.1,ammonia_oxidation,aerobic_ammonia_oxidation
1204,Nitrosospira,"(Meincke et al., 1989) (Jones et al., 2008) , (Graf et al., 2014)",ammonia_oxidation,Ammonia
1205,Nitrosotalea,FAPROTAXv1.1,ammonia_oxidation,aerobic_ammonia_oxidation
1206,Nitrosotenuis,FAPROTAXv1.1,ammonia_oxidation,aerobic_ammonia_oxidation
1207,Nitrosovibrio,,ammonia_oxidation,Ammonia
1208,Nitrospina,,nitrite_oxidation,
1209,Nitrospinaceae,FAPROTAXv1.1,nitrite_oxidation,aerobic_nitrite_oxidation
1210,Nitrospinae,"(Antharaman et al., 2016)",C_cycle N_cycle S_cycle Fe_Cycle H2_ox H2_prod aerobic           ,
1211,Nitrospira,", FAPROTAXv1.1",nitrite_oxidation,
1212,Nitrospirae,"(Antharaman et al., 2016), FAPROTAXv1.1",C_cycle N_fix N_cycle S_cycle Fe_Cycle H2_ox H2_prod C1_ox aerobic aerobic_nitrite_oxidation nitrate_respiration sulfate_respiration thiosulfate_respiration     ,
1213,Nitrospirillum,"(Chung et al., 2015)",N2_fix,               
1214,Nitrotoga,FAPROTAXv1.1,nitrite_oxidation,aerobic_nitrite_oxidation
1215,Niveispirillum,FAPROTAXv1.1,N2_fix,
1216,Nocardia,"(Graf et al., 2014), FAPROTAXv1.1",nirK norB aerobic_chemoheterotrophy human_pathogens_all ligninolysis nitrate_reduction plant_pathogen         ,
1217,Nocardiaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,urea
1218,Nocardioidaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,degradation
1219,Nocardioides,"(Graf et al., 2014), FAPROTAXv1.1",nirK aerobic_chemoheterotrophy aromatic_compound_degradation nitrate_denitrification nitrate_reduction xylanolysis          ,
1220,Nocardiopsaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1221,Nocardiopsis,FAPROTAXv1.1,chitinolysis,"N, urea"
1222,non-N,,non-N,              
1223,Nonomuraea,FAPROTAXv1.1,denitrification,urea 
1224,Nostoc,FAPROTAXv1.1,N2_fix,
1225,Novosphingobium,", FAPROTAXv1.1",non-N,aromatic_compound_degradation aromatic_hydrocarbon_degradation             
1226,Oceanicaulis,FAPROTAXv1.1,aerobic_chemoheterotrophy,n
1227,Oceanicola,FAPROTAXv1.1,aerobic_chemoheterotrophy,"n, urea"
1228,Oceanimonas,"(Graf et al., 2014), FAPROTAXv1.1",nirK norB aerobic_chemoheterotrophy             ,
1229,Oceaniovalibus,"(Graf et al., 2014), FAPROTAXv1.1",nirK norB nosZ aerobic_chemoheterotrophy nitrate_reduction           ,
1230,Oceanisphaera,FAPROTAXv1.1,aerobic_chemoheterotrophy,"Mn, N"
1231,Oceanithermus,"(Graf et al., 2014), FAPROTAXv1.1",nirS norB aerobic_chemoheterotrophy nitrate_respiration nitrite_respiration sulfur_respiration          ,
1232,Oceanobacillus,FAPROTAXv1.1,denitrification,
1233,Oceanospirillaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,N
1234,Oceanospirillales,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1235,Oceanotoga,FAPROTAXv1.1,fermentation,"S, Fe, xylan"
1236,Ochrobactrum,"(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",nirK norB nosZ aerobic_chemoheterotrophy animal_parasites_or_symbionts ligninolysis          ,
1237,Octadecabacter,"(Graf et al., 2014), FAPROTAXv1.1",nirK aerobic_chemoheterotrophy              ,
1238,Odoribacter,FAPROTAXv1.1,fermentation,
1239,Oenocuccus,FAPROTAXv1.1,fermentation,
1240,Oerskovia,FAPROTAXv1.1,fermentation,urea
1866,Ohtaekwangia,"(Yoon et al., 2011)",non-N,              
1241,Oleiphilus,FAPROTAXv1.1,degradation,hydrocarbon
1242,Oleispira,FAPROTAXv1.1,degradation,hydrocarbon
1243,Oligella,FAPROTAXv1.1,denitrification,urea 
1244,Oligotropha,"(Graf et al., 2014)",nirK nosZ              ,
1245,Omnitrophica,"(Antharaman et al., 2016)",C_cycle N_fix N_cycle S_cycle H2_ox H2_prod C1_ox aerobic          ,
1246,Omnitrophica WOR_2,"(Antharaman et al., 2016)",C_cycle N_cycle S_cycle H2_ox H2_prod C1_ox aerobic           ,
1247,Opitutaceae,"(Graf et al., 2014), FAPROTAXv1.1",nosZ fermentation nitrate_reduction            ,
1248,Opitutus,"(Chin et al., 2001) (Graf et al., 2014), FAPROTAXv1.1",denitrification,xylan
1249,Or-59,"(Sangwan et al., 2004)",non-N,              
1250,Orenia,FAPROTAXv1.1,H_ox,#REF!
1251,Ornithinibacter,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1252,Ornithinimicrobium,FAPROTAXv1.1,denitrification,
1253,Ornithobacterium,FAPROTAXv1.1,ureolysis,
1254,Oryzihumus,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1255,Oscillatoria,FAPROTAXv1.1,anoxygenic_photoautotrophy_H2_oxidizing,                
1256,Oscillibacter,FAPROTAXv1.1,fermentation,
1257,Oscillochloris,FAPROTAXv1.1,anoxygenic_photoautotrophy_H2_oxidizing,anoxygenic_photoautotrophy_S_oxidizing photoheterotrophy ureolysis              
1258,Ottowia,FAPROTAXv1.1,aerobic_chemoheterotrophy,N
1259,Owenweeksia,"(Graf et al., 2014)",nosZ              ,
1260,Oxalobacter,FAPROTAXv1.1,fermentation,
1261,Oxalobacteraceae,FAPROTAXv1.1,N2_fix,"urea, xylan"
