,gen,fun_consol,ref_consol
838,Halothiobacillaceae,anoxygenic_photoautotrophy_S_oxidizing dark_sulfide_oxidation dark_sulfur_oxidation dark_thiosulfate_oxidation,FAPROTAXv1.1
839,Halothiobacillus,dark_sulfide_oxidation dark_sulfur_oxidation dark_thiosulfate_oxidation nitrate_respiration,FAPROTAXv1.1
840,Hasllibacter,aerobic_chemoheterotrophy,FAPROTAXv1.1
841,Helcobacillus,aerobic_chemoheterotrophy,FAPROTAXv1.1
842,Helicobacter,animal_parasites_or_symbionts fumarate_respiration human_gut human_pathogens_all human_pathogens_gastroenteritis nitrate_reduction  ureolysis,FAPROTAXv1.1
843,Helicobacteraceae,dark_hydrogen_oxidation dark_oxidation_of_sulfur_compounds fumarate_respiration nitrate_respiration,FAPROTAXv1.1
844,Heliobacteriaceae,fermentation photoheterotrophy,FAPROTAXv1.1
845,Heliobacterium,nitrogen_fixation,FAPROTAXv1.1
846,Heliorestis,nitrogen_fixation,FAPROTAXv1.1
847,Henriciella,aerobic_chemoheterotrophy,FAPROTAXv1.1
848,Herbaspirillum,"Denitrification, dark_hydrogen_oxidation manganese_oxidation nitrate_reduction  nitrate_respiration nitrogen_fixation plant_pathogen ureolysis","(Baldani et al., 1986) (Graf et al., 2014), FAPROTAXv1.1"
849,Herbiconiux,aerobic_chemoheterotrophy xylanolysis,FAPROTAXv1.1
850,Herbinix,cellulolysis,FAPROTAXv1.1
851,Herbivorax,cellulolysis fermentation xylanolysis,FAPROTAXv1.1
852,Herminiimonas,"non-N, aerobic_chemoheterotrophy arsenate_detoxification arsenite_oxidation_detoxification nitrate_denitrification","(Ferndes et al., 2005) (Graf et al., 2014), FAPROTAXv1.1"
853,Herpetosiphon,"nirK, cellulolysis","(Graf et al., 2014), FAPROTAXv1.1"
854,Hespellia,fermentation,FAPROTAXv1.1
855,Heteroc45_4W,non-N,
856,hgcI clade,varied,
857,higella,fermentation,FAPROTAXv1.1
858,Histoplasma,nirK  norB,"(Graf et al., 2014)"
859,Hoeflea,aerobic_anoxygenic_phototrophy aerobic_chemoheterotrophy anoxygenic_photoautotrophy oil_bioremediation,FAPROTAXv1.1
860,Holdemania,human_gut,FAPROTAXv1.1
861,Holophaga,"non-N, aromatic_compound_degradation reductive_acetogenesis","(Liesack et al., 1994), FAPROTAXv1.1"
862,Holophagaceae,aromatic_compound_degradation fermentation,FAPROTAXv1.1
863,Holosporaceae,intracellular_parasites,FAPROTAXv1.1
864,Homoserinimonas,aerobic_chemoheterotrophy,FAPROTAXv1.1
865,Huaishuia,aerobic_chemoheterotrophy ureolysis,FAPROTAXv1.1
866,Humibacillus,aerobic_chemoheterotrophy,FAPROTAXv1.1
867,Humitalea,aerobic_chemoheterotrophy ureolysis,FAPROTAXv1.1
868,Hwanghaeicola,aerobic_chemoheterotrophy ureolysis,FAPROTAXv1.1
869,Hydrocarboniphaga,aliphatic_non_methane_hydrocarbon_degradation aromatic_compound_degradation,FAPROTAXv1.1
870,Hydrogenimonas,dark_hydrogen_oxidation,FAPROTAXv1.1
871,Hydrogenispora,fermentation,FAPROTAXv1.1
872,Hydrogenobacter,"nirS norB nosZ, dark_hydrogen_oxidation dark_oxidation_of_sulfur_compounds","(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1"
873,Hydrogenobaculum,arsenite_oxidation_detoxification dark_hydrogen_oxidation,FAPROTAXv1.1
874,Hydrogenomonas,dark_hydrogen_oxidation,FAPROTAXv1.1
875,Hydrogenophaga,"Denitrification, aerobic_chemoheterotrophy dark_hydrogen_oxidation dark_sulfide_oxidation dark_sulfur_oxidation dark_thiosulfate_oxidation dissimilatory oxidation of arsenite for energy not photosynthesis nitrate_denitrification nitrate_reduction  plant_pathogen ureolysis","(Willems et al., 1989), FAPROTAXv1.1"
876,Hydrogenophilaceae,dark_oxidation_of_sulfur_compounds dark_sulfide_oxidation knallgas_bacteria,FAPROTAXv1.1
877,Hydrogenophilales,C_fix   N_cycle  S_cycle   H2_ox  H2_prod  C1_ox  aerobic,"(Antharaman et al., 2016)"
878,Hydrogenophilus,nitrate_respiration ureolysis,FAPROTAXv1.1
879,Hydrogenothermus,knallgas_bacteria,FAPROTAXv1.1
880,Hydrogenovibrio,dark_hydrogen_oxidation dark_sulfur_oxidation dark_thiosulfate_oxidation knallgas_bacteria,FAPROTAXv1.1
881,Hydrotalea,aerobic_chemoheterotrophy,FAPROTAXv1.1
882,Hymenobacter,"non-N, nitrate_reduction","(Reddy, 2013), FAPROTAXv1.1"
883,Hyphomicrobiaceae,aerobic_chemoheterotrophy anoxygenic_photoautotrophy_S_oxidizing dark_hydrogen_oxidation fermentation nitrate_denitrification nitrate_reduction  nitrogen_fixation photoheterotrophy ureolysis,FAPROTAXv1.1
884,Hyphomicrobium,"Denitrification, nitrate_reduction  ureolysis","(Moore, 1981) (Graf et al., 2014), FAPROTAXv1.1"
885,Hyphomonadaceae_family_SWB02,varied,
886,Hyphomonas,aerobic_chemoheterotrophy dark_iron_oxidation nitrate_denitrification nitrate_reduction,FAPROTAXv1.1
887,Iamia,aerobic_chemoheterotrophy nitrate_denitrification,FAPROTAXv1.1
888,Ideonella,"non-N, nitrate_respiration","(Malmqvist et al., 1994), FAPROTAXv1.1"
889,Idiomarina,nirK  norB,"(Jones et al., 2008) , (Graf et al., 2014)"
890,Ignavibacteria,N_cycle  S_cycle   H2_ox  H2_prod  C1_ox  aerobic,"(Antharaman et al., 2016)"
891,Ignavibacterium,Sulfur reduction,"{Iino, T., et al. (2010)} (Graf et al., 2014)"
892,Ignavigranum,aerobic_chemoheterotrophy,FAPROTAXv1.1
893,Ilumatobacter,aerobic_chemoheterotrophy,FAPROTAXv1.1
894,Ilyobacter,aromatic_compound_degradation,FAPROTAXv1.1
895,Imtechella,nirK  norB  nosZ,"(Graf et al., 2014)"
896,Incisomonas,non-N,"(Cavalier-Smith and Scoble, 2013)"
897,Indibacter,nirK  norB,"(Graf et al., 2014)"
898,Intrasporangiaceae,aerobic_chemoheterotrophy nitrate_reduction,FAPROTAXv1.1
899,Intrasporangium,"nirK  norB, aerobic_chemoheterotrophy nitrate_reduction  nitrate_respiration","(Graf et al., 2014), FAPROTAXv1.1"
900,Iodobacter,nitrate_reduction,FAPROTAXv1.1
901,IS-44,Ammonia oxidation,
902,Isoptericola,chitinolysis nitrate_reduction,FAPROTAXv1.1
903,Jahnia,xylanolysis,FAPROTAXv1.1
904,Janibacter,aerobic_chemoheterotrophy nitrate_reduction,FAPROTAXv1.1
905,Janthinobacterium,"non-N, chitinolysis nitrate_reduction  plant_pathogen","(Ciesielski et al., 2014) (Shoemaker et al., 2015) (Hornung et al., 2013), FAPROTAXv1.1"
906,Jatrophihabitans,aerobic_chemoheterotrophy,FAPROTAXv1.1
907,Jejudonia,aerobic_chemoheterotrophy,FAPROTAXv1.1
908,Jettenia,anammox,FAPROTAXv1.1
909,JGI 0001001-H03,varied,
910,Jhaorihella,aerobic_chemoheterotrophy,FAPROTAXv1.1
911,Jiangella,aerobic_chemoheterotrophy nitrate_reduction  ureolysis,FAPROTAXv1.1
912,Jonesia,"nirK, cellulolysis nitrate_reduction","(Graf et al., 2014), FAPROTAXv1.1"
913,Joostella,aerobic_chemoheterotrophy,FAPROTAXv1.1
914,Kaistia,"Denitrification, aerobic_chemoheterotrophy","(Im et al., 2004), FAPROTAXv1.1"
915,Kaistobacter,non-N,
916,Kandleria,fermentation,FAPROTAXv1.1
917,Kangiella,nirK nirS norB,"(Graf et al., 2014)"
918,Kerstersia,human_pathogens_all,FAPROTAXv1.1
919,Kibdelosporangium,nitrate_reduction  ureolysis,FAPROTAXv1.1
920,Kineococcus,ureolysis,FAPROTAXv1.1
921,Kineosphaera,nirK  norB,"(Graf et al., 2014)"
922,Kineosporia,aerobic_chemoheterotrophy ureolysis,FAPROTAXv1.1
923,Kineosporiaceae,aerobic_chemoheterotrophy,FAPROTAXv1.1
924,Kingella,"nirK  norB  nosZ, human_pathogens_all","(Graf et al., 2014), FAPROTAXv1.1"
925,Kitasatospora,nitrate_reduction,FAPROTAXv1.1
926,Klebsiella,dark_thiosulfate_oxidation DNRA fermentation human_gut human_pathogens_all human_pathogens_nosocomia human_pathogens_pneumonia human_pathogens_septicemia iron_respiration ligninolysis,FAPROTAXv1.1
927,Knoellia,Denitrification,"(Groth et al., 2002)"
928,Kocuria,arsenate_detoxification nitrate_reduction  ureolysis,FAPROTAXv1.1
929,Kordiimonas,aromatic_hydrocarbon_degradation,FAPROTAXv1.1
930,Koribacter,aerobic_chemoheterotrophy xylanolysis,FAPROTAXv1.1
931,Kosmotoga,fermentation,FAPROTAXv1.1
932,Kuenenia,"Ammox, anammox","(Groth et al., 2002) (Jones et al., 2008), FAPROTAXv1.1"
933,Kurthia,chitinolysis,FAPROTAXv1.1
934,Kutzneria,nitrate_reduction,FAPROTAXv1.1
935,Kyrpidia,aerobic_chemoheterotrophy knallgas_bacteria nitrate_reduction  ureolysis,FAPROTAXv1.1
936,Labedella,aerobic_chemoheterotrophy,FAPROTAXv1.1
937,Labrenzia,"nirS norB  nosZ, aerobic_chemoheterotrophy","(Graf et al., 2014), FAPROTAXv1.1"
938,Labrys,aerobic_chemoheterotrophy,FAPROTAXv1.1
939,Lachnospira,fermentation,FAPROTAXv1.1
940,Lachnospiraceae,animal_parasites_or_symbionts aromatic_compound_degradation dark_hydrogen_oxidation fermentation human_gut nitrate_reduction  reductive_acetogenesis,FAPROTAXv1.1
941,Lacinutrix,aerobic_chemoheterotrophy,FAPROTAXv1.1
942,Lactobacillaceae,fermentation,FAPROTAXv1.1
943,Lactobacillus,DNRA fermentation human_gut nitrite_ammonification,FAPROTAXv1.1
944,Lactococcus,fermentation plant_pathogen,FAPROTAXv1.1
945,Lactosphaera,fermentation,FAPROTAXv1.1
946,Lacunisphaera,non-N,"{Rast, P., et al. (2017)}"
947,Lamprobacter,anoxygenic_photoautotrophy_H2_oxidizing anoxygenic_photoautotrophy_S_oxidizing nitrogen_fixation ureolysis,FAPROTAXv1.1
948,Lapillicoccus,aerobic_chemoheterotrophy,FAPROTAXv1.1
949,Larkinella,aerobic_chemoheterotrophy,FAPROTAXv1.1
950,Lautropia,nirK  norB  nosZ,"(Graf et al., 2014)"
951,Lebetimonas,dark_hydrogen_oxidation sulfur_respiration,FAPROTAXv1.1
952,Lechevalieria,nitrate_reduction  ureolysis,FAPROTAXv1.1
953,Legionella,"non-N, human_pathogens_all human_pathogens_pneumonia","(Jones et al., 2008), FAPROTAXv1.1"
954,Legionellaceae,aerobic_chemoheterotrophy,FAPROTAXv1.1
955,Legionellales,"S_cycle   H2_ox  H2_prod   aerobic, intracellular_parasites","(Antharaman et al., 2016), FAPROTAXv1.1"
956,Leifsonia,fermentation nitrate_reduction  plant_pathogen ureolysis,FAPROTAXv1.1
957,Leisingera,methylotrophy,FAPROTAXv1.1
958,Leminorella,human_pathogens_all human_pathogens_gastroenteritis,FAPROTAXv1.1
959,Lentibacillus,nitrate_reduction,FAPROTAXv1.1
960,Lentisphaeraceae,aerobic_chemoheterotrophy,FAPROTAXv1.1
961,Lentisphaerae,C_fix  N_fix  N_cycle  S_cycle   H2_ox  H2_prod  C1_ox  aerobic,"(Antharaman et al., 2016)"
962,Lentzea,ureolysis,FAPROTAXv1.1
963,Leptolinea,"non-N, fermentation","(Yamada et al. 2006)?, FAPROTAXv1.1"
964,Leptolyngbya,N fixation,"(Shimura et al., 2015)"
965,Leptonema,non-N,"(Graf et al., 2014)"
966,Leptospira,non-N,"(Graf et al., 2014)"
967,Leptospirillum,dark_iron_oxidation nitrogen_fixation,FAPROTAXv1.1
968,Leptothrix,"nirS norB  nosZ, dark_iron_oxidation manganese_oxidation","(Graf et al., 2014), FAPROTAXv1.1"
969,Leptotrichia,non-N,"{Couturier, M. R., et al. (2012)}"
970,Leptotrichiaceae,fermentation,FAPROTAXv1.1
971,Leucobacter,nitrate_reduction  ureolysis,FAPROTAXv1.1
972,Leuconostoc,fermentation plant_pathogen,FAPROTAXv1.1
973,Leuconostocaceae,fermentation,FAPROTAXv1.1
974,Levilinea,"non-N, fermentation","{Yamada, T., et al. (2006)}, FAPROTAXv1.1"
975,Lewinella,nitrate_reduction,FAPROTAXv1.1
976,Limnobacter,"Sulfur oxidation, aerobic_chemoheterotrophy dark_thiosulfate_oxidation","{Spring, S., et al. (2001)}, FAPROTAXv1.1"
977,Limonium,chitinolysis,FAPROTAXv1.1
978,Listeria,human_gut human_pathogens_all plant_pathogen,FAPROTAXv1.1
979,Listeriaceae,fermentation,FAPROTAXv1.1
980,Litorilinea,aerobic_chemoheterotrophy,FAPROTAXv1.1
981,Loktanella,aerobic_chemoheterotrophy nitrate_reduction,FAPROTAXv1.1
982,Lonepinella,animal_parasites_or_symbionts fermentation,FAPROTAXv1.1
983,Longimonas,aerobic_chemoheterotrophy fermentation,FAPROTAXv1.1
984,Longispora,nitrate_reduction,FAPROTAXv1.1
985,Lonsdalea,plant_pathogen,FAPROTAXv1.1
986,Luedemannella,aerobic_chemoheterotrophy,FAPROTAXv1.1
987,Luteimonas,Denitrification,"{Finkmann, W., et al. (2000)}"
988,Luteipulveratus,aerobic_chemoheterotrophy,FAPROTAXv1.1
989,Luteococcus,fermentation nitrate_reduction,FAPROTAXv1.1
990,Luteolibacter,non-N,"(Glaeser et al., 2012)"
991,Lutibaculum,aerobic_chemoheterotrophy nitrate_reduction,FAPROTAXv1.1
992,Lutiella,nirS norB  nosZ,"(Graf et al., 2014)"
993,Lysinibacillus,invertebrate_parasites  xylanolysis,FAPROTAXv1.1
994,Lysobacter,"Degrade chitin, ureolysis","(CHRISTENSEN and Cook, 1978), FAPROTAXv1.1"
995,Macellibacteroides,non-N,"(Jabari et al., 2012)"
996,Macromonas,ureolysis,FAPROTAXv1.1
997,Magnetococcus,"norB, nitrogen_fixation","(Jones et al., 2008), FAPROTAXv1.1"
998,Magnetospirillum,"non-N, aerobic_chemoheterotrophy nitrate_denitrification nitrate_respiration nitrogen_fixation","(Thrash et al., 2010) (Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1"
999,Malikia,Denitrification,"(Spring et al., 2005)"
1000,Mameliella,aerobic_chemoheterotrophy,FAPROTAXv1.1
1001,Mangrovibacterium,aerobic_chemoheterotrophy cellulolysis fermentation nitrogen_fixation,FAPROTAXv1.1
1002,Mannheimia,nirK  norB,"(Jones et al., 2008) , (Graf et al., 2014)"
1003,Maribacter,"nirK  norB  nosZ, nitrate_reduction","(Graf et al., 2014), FAPROTAXv1.1"
1004,Maricaulis,aerobic_chemoheterotrophy,FAPROTAXv1.1
1005,Marichromatium,anoxygenic_photoautotrophy_H2_oxidizing anoxygenic_photoautotrophy_S_oxidizing nitrogen_fixation,FAPROTAXv1.1
1006,Marihabitans,aerobic_chemoheterotrophy nitrate_reduction,FAPROTAXv1.1
1007,Marine,nirK,"(Graf et al., 2014)"
1008,Marinilabilia,nirK  norB  nosZ,"(Graf et al., 2014)"
1009,Marinilabiliaceae,fermentation,FAPROTAXv1.1
1010,Marinilactibacillus,aerobic_chemoheterotrophy fermentation,FAPROTAXv1.1
1011,Marinimicrobium,xylanolysis,FAPROTAXv1.1
1012,Mariniphaga,aerobic_chemoheterotrophy fermentation,FAPROTAXv1.1
1013,Marinitoga,sulfur_respiration,FAPROTAXv1.1
1014,Marinobacter,"nirK nirS norB nosZ, aerobic_chemoheterotrophy aliphatic_non_methane_hydrocarbon_degradation aromatic_hydrocarbon_degradation arsenate_respiration dark_iron_oxidation denitrification fermentation nitrate_denitrification nitrate_respiration oil_bioremediation ureolysis","(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1"
1015,Marinobacterium,aerobic_chemoheterotrophy aromatic_compound_degradation methanol_oxidation nitrate_reduction  nitrogen_fixation ureolysis,FAPROTAXv1.1
1016,Marinococcus,nitrate_reduction  ureolysis,FAPROTAXv1.1
1017,Marinomonas,nitrate_reduction,FAPROTAXv1.1
1018,Marinospirillum,nitrate_reduction  oil_bioremediation,FAPROTAXv1.1
1019,Marinovum,aerobic_chemoheterotrophy,FAPROTAXv1.1
1020,Mariprofundus,dark_iron_oxidation,FAPROTAXv1.1
1021,Maritimibacter,"nirK  norB  nosZ, aerobic_chemoheterotrophy","(Graf et al., 2014), FAPROTAXv1.1"
1022,Marivita,aerobic_chemoheterotrophy nitrate_reduction,FAPROTAXv1.1
1023,Marixanthomonas,aerobic_chemoheterotrophy,FAPROTAXv1.1
1024,Martelella,aerobic_chemoheterotrophy aromatic_hydrocarbon_degradation fermentation,FAPROTAXv1.1
1025,Marvinbryantia,reductive_acetogenesis,FAPROTAXv1.1
1026,Massilia,Denitrification,"(Lindquist et al., 2003)"
1027,Megasphaera,"non-N, fermentation","(Rogosa, 1971), FAPROTAXv1.1"
1028,Meiothermus,aerobic_chemoheterotrophy dark_thiosulfate_oxidation fumarate_respiration nitrate_reduction  xylanolysis,FAPROTAXv1.1
1029,Melioribacter,"nosZ, aerobic_chemoheterotrophy arsenate_respiration cellulolysis fermentation iron_respiration nitrite_respiration xylanolysis","(Graf et al., 2014), FAPROTAXv1.1"
1030,Melittangium,xylanolysis,FAPROTAXv1.1
1031,Meridianimaribacter,aerobic_chemoheterotrophy,FAPROTAXv1.1
1032,Mesoflavibacter,aerobic_chemoheterotrophy xylanolysis,FAPROTAXv1.1
1033,Mesonia,aerobic_chemoheterotrophy,FAPROTAXv1.1
1034,mesophilicum,plastic_degradation,FAPROTAXv1.1
1035,Mesophilobacter,nitrate_reduction,FAPROTAXv1.1
1036,Mesorhizobium,"N fixation, nitrogen_fixation","https://en.wikipedia.org/wiki/Mesorhizobium (Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1"
1037,metagenome,unclassified,
1038,Metallibacterium,aerobic_chemoheterotrophy iron_respiration,FAPROTAXv1.1
1039,Metallosphaera,dark_iron_oxidation,FAPROTAXv1.1
1040,Metascardovia,fermentation,FAPROTAXv1.1
1041,Methanoarchaeota,methanogenesis,FAPROTAXv1.1
1042,Methanobacteriaceae,methanogenesis_by_CO2_reduction_with_H2,FAPROTAXv1.1
1043,Methanobacteriales,dark_hydrogen_oxidation hydrogenotrophic_methanogenesis,FAPROTAXv1.1
1044,Methanobacterium,"non-N, dark_hydrogen_oxidation methanogenesis_by_CO2_reduction_with_H2 methanogenesis_by_reduction_of_methyl_compounds_with_H2 methanogenesis_using_formate methanol_oxidation","(Zeikus and Wolee, 1972), FAPROTAXv1.1"
1045,Methanobrevibacter,"Methanogen, human_gut",", FAPROTAXv1.1"
1046,Methanocellales,methanogenesis,FAPROTAXv1.1
1047,Methanococcaceae,hydrogenotrophic_methanogenesis methanogenesis_using_formate,FAPROTAXv1.1
1048,Methanococcales,methanogenesis methanogenesis_by_CO2_reduction_with_H2 methanogenesis_using_formate,FAPROTAXv1.1
1049,Methanococcoides,methanogenesis methanol_oxidation,FAPROTAXv1.1
1050,Methanococcus,dark_hydrogen_oxidation nitrogen_fixation,FAPROTAXv1.1
1051,Methanocorpusculaceae,methanogenesis_by_CO2_reduction_with_H2,FAPROTAXv1.1
1052,Methanoculleus,methanogenesis_using_formate,FAPROTAXv1.1
1053,Methanogranum,dark_hydrogen_oxidation methanogenesis_by_reduction_of_methyl_compounds_with_H2,FAPROTAXv1.1
1054,Methanolinea,dark_hydrogen_oxidation methanogenesis_by_CO2_reduction_with_H2 methanogenesis_using_formate,FAPROTAXv1.1
1055,Methanomassiliicoccaceae,methanogenesis_by_reduction_of_methyl_compounds_with_H2,FAPROTAXv1.1
1056,Methanomassiliicoccales,methylotrophy,FAPROTAXv1.1
1057,Methanomassiliicoccus,"Methanogen, dark_hydrogen_oxidation methanogenesis methanogenesis_by_reduction_of_methyl_compounds_with_H2","(Dridi et al., 2012), FAPROTAXv1.1"
1058,Methanomethylophilus,methanogenesis methylotrophy,FAPROTAXv1.1
1059,Methanomicrobiaceae,methanogenesis_by_CO2_reduction_with_H2 methanogenesis_using_formate,FAPROTAXv1.1
1060,Methanomicrobiales,methanogenesis_by_CO2_reduction_with_H2,FAPROTAXv1.1
1061,Methanomicrococcus,methanogenesis_by_reduction_of_methyl_compounds_with_H2,FAPROTAXv1.1
1062,Methanomonas,methanotrophy,FAPROTAXv1.1
1063,Methanoperedens,methanotrophy nitrate_respiration,FAPROTAXv1.1
1064,Methanoplasma,dark_hydrogen_oxidation methanogenesis_by_reduction_of_methyl_compounds_with_H2,FAPROTAXv1.1
1065,Methanopyrales,methanogenesis methanogenesis_by_CO2_reduction_with_H2,FAPROTAXv1.1
1066,Methanoregula,dark_hydrogen_oxidation hydrogenotrophic_methanogenesis methanogenesis_by_CO2_reduction_with_H2,FAPROTAXv1.1
1067,Methanosaeta,"non-N, plastic_degradation","(Smith and Ingram-Smith, 2007), FAPROTAXv1.1"
1068,Methanosarcina,"Methanogen, fermentation methanogenesis_by_CO2_reduction_with_H2 nitrogen_fixation sulfur_respiration",", FAPROTAXv1.1"
1069,Methanosarcinaceae,dark_hydrogen_oxidation methanogenesis_by_CO2_reduction_with_H2,FAPROTAXv1.1
1070,Methanosarcinales,methanogenesis methanogenesis_by_disproportionation_of_methyl_groups,FAPROTAXv1.1
1071,Methanosphaera,dark_hydrogen_oxidation methanogenesis_by_reduction_of_methyl_compounds_with_H2,FAPROTAXv1.1
1072,Methanospirillaceae,dark_hydrogen_oxidation methanogenesis_by_CO2_reduction_with_H2 methanogenesis_using_formate nitrogen_fixation,FAPROTAXv1.1
1073,Methanospirillum,"Methanogen, plastic_degradation","(Ferry et al., 1974), FAPROTAXv1.1"
1074,Methanothermaceae,methanogenesis_by_CO2_reduction_with_H2,FAPROTAXv1.1
1075,Methanothermobacter,dark_hydrogen_oxidation methanogenesis_by_CO2_reduction_with_H2 nitrogen_fixation,FAPROTAXv1.1
1076,Methanothermococcus,nitrogen_fixation,FAPROTAXv1.1
1077,Methylacidiphilum,"nirK  norB, methanotrophy nitrogen_fixation","(Graf et al., 2014), FAPROTAXv1.1"
1078,Methylarcula,manganese_oxidation,FAPROTAXv1.1
1079,Methylibium,aromatic_compound_degradation methanol_oxidation,FAPROTAXv1.1
1080,Methyloacida,methanotrophy,FAPROTAXv1.1
1081,Methylobacillus,methanol_oxidation nitrate_reduction  ureolysis,FAPROTAXv1.1
1082,Methylobacter,"Methanotroph, methanotrophy nitrogen_fixation ureolysis","(wikipedia), FAPROTAXv1.1"
1083,Methylobacteriaceae,aerobic_chemoheterotrophy methanol_oxidation ureolysis,FAPROTAXv1.1
1084,Methylobacterium,"non-N, aerobic_anoxygenic_phototrophy dark_thiosulfate_oxidation methylotrophy","(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1"
1085,Methylocaldum,methanotrophy,FAPROTAXv1.1
1086,Methylocapsa,methanotrophy nitrogen_fixation,FAPROTAXv1.1
1087,Methylocella,"nirK  norB, methanotrophy nitrogen_fixation","(Graf et al., 2014), FAPROTAXv1.1"
1088,Methylococcaceae,"Methanotroph, methanotrophy nitrate_reduction","{Bowman, J. (2006)}, FAPROTAXv1.1"
1089,Methylococcus,"norB, methanotrophy","(Jones et al., 2008), FAPROTAXv1.1"
1090,Methylocystaceae,methanotrophy nitrate_reduction  nitrogen_fixation ureolysis,FAPROTAXv1.1
1091,Methylocystis,"non-N, fermentation methanotrophy","(Belova et al., 2013) (Graf et al., 2014), FAPROTAXv1.1"
1092,Methyloferula,methanotrophy,FAPROTAXv1.1
1093,Methylogaea,methanotrophy,FAPROTAXv1.1
1094,Methyloglobulus,methanol_oxidation methanotrophy nitrogen_fixation,FAPROTAXv1.1
1095,Methylohalobius,methanotrophy,FAPROTAXv1.1
1096,Methylohalomonas,methanol_oxidation,FAPROTAXv1.1
1097,Methylokorus,methanotrophy,FAPROTAXv1.1
1098,Methylomarinovum,methanotrophy,FAPROTAXv1.1
1099,Methylomarinum,methanotrophy,FAPROTAXv1.1
1100,Methylomicrobium,methanotrophy,FAPROTAXv1.1
1101,Methylomirabilis,methanotrophy nitrite_denitrification,FAPROTAXv1.1
1102,Methylomonas,"Methanotroph, methanol_oxidation methanotrophy nitrogen_fixation",", FAPROTAXv1.1"
1103,Methylonatrum,methanol_oxidation,FAPROTAXv1.1
1104,Methylophaga,non-N,"(Graf et al., 2014)"
1105,Methylophilaceae,methanol_oxidation ureolysis,FAPROTAXv1.1
1106,Methylophilales,N_cycle  S_cycle     C1_ox  aerobic,"(Antharaman et al., 2016)"
1107,Methylophilus,methanol_oxidation nitrate_reduction,FAPROTAXv1.1
1108,Methylosarcina,"non-N, methanotrophy",", FAPROTAXv1.1"
1109,Methylosineae,methanotrophy,FAPROTAXv1.1
1110,Methylosinus,"Denitrification, aliphatic_non_methane_hydrocarbon_degradation methanotrophy","(Sullivan et al., 1998), FAPROTAXv1.1"
1111,Methylosoma,methanotrophy,FAPROTAXv1.1
1112,Methylosphaera,methanol_oxidation methanotrophy nitrogen_fixation,FAPROTAXv1.1
1113,Methylotenera,non-N,"(Kalyuzhya et al., 2006) (Graf et al., 2014) , (Antharaman et al., 2016)"
1114,Methyloterrigena,methanol_oxidation,FAPROTAXv1.1
1115,Methylothermaceae,methanotrophy,FAPROTAXv1.1
1116,Methylothermus,"Denitrification, methanotrophy","(Tsubota et al., 2005), FAPROTAXv1.1"
1117,Methylovarius,methanotrophy,FAPROTAXv1.1
1118,Methyloversatilis,non-N,"(Kalyuzhya et al., 2006)"
1119,Methylovirgula,methanol_oxidation nitrogen_fixation,FAPROTAXv1.1
1120,Methylovulum,"Methanotroph, methanotrophy","{Iguchi, H., et al. (2011)}, FAPROTAXv1.1"
1121,Microbacteriaceae,aerobic_chemoheterotrophy nitrate_reduction  ureolysis,FAPROTAXv1.1
1122,Microbacterium,arsenate_detoxification ligninolysis nitrate_reduction  nitrate_respiration oil_bioremediation ureolysis xylanolysis,FAPROTAXv1.1
1123,Microbispora,nitrate_reduction,FAPROTAXv1.1
1124,Microbulbifer,cellulolysis chitinolysis xylanolysis,FAPROTAXv1.1
1125,Microcella,ureolysis,FAPROTAXv1.1
1126,Micrococcaceae,aerobic_chemoheterotrophy fermentation,FAPROTAXv1.1
1127,Micrococcales,aerobic_chemoheterotrophy fermentation,FAPROTAXv1.1
1128,Micrococcus,cellulolysis ligninolysis nitrate_denitrification nitrate_reduction  plastic_degradation,FAPROTAXv1.1
1129,Microgenomates group,S_cycle   H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
1130,Microlunatus,"nirK  norB, nitrate_reduction  nitrate_respiration","(Graf et al., 2014), FAPROTAXv1.1"
1131,Micromonospora,"non-N, cellulolysis chitinolysis nitrate_reduction  xylanolysis","(Graf et al., 2014), FAPROTAXv1.1"
1132,Micromonosporaceae,aerobic_chemoheterotrophy nitrate_reduction,FAPROTAXv1.1
1133,Microtetraspora,ureolysis xylanolysis,FAPROTAXv1.1
1134,Microvirgula,aerobic_chemoheterotrophy methanol_oxidation nitrate_denitrification nitrite_denitrification nitrous_oxide_denitrification,FAPROTAXv1.1
1135,Miniimonas,nitrate_reduction,FAPROTAXv1.1
1136,Mitsuaria,aerobic_chemoheterotrophy nitrate_reduction,FAPROTAXv1.1
1137,Mizugakiibacter,nitrate_respiration,FAPROTAXv1.1
1138,Mobilicoccus,"nirK  norB, aerobic_chemoheterotrophy nitrate_reduction","(Graf et al., 2014), FAPROTAXv1.1"
1139,Mobiluncus,fermentation human_gut,FAPROTAXv1.1
1140,Modestobacter,nitrate_reduction  ureolysis,FAPROTAXv1.1
1141,Moheibacter,aerobic_chemoheterotrophy,FAPROTAXv1.1
1142,Moorella,fermentation methanol_oxidation nitrate_respiration nitrogen_fixation reductive_acetogenesis,FAPROTAXv1.1
